Model,Alpha,Train_RMSE,Val_RMSE,Test_RMSE,Train_MAE,Val_MAE,Test_MAE,Train_NASA,Val_NASA,Test_NASA,Training_Time
Baseline,0.0,11.820744777272955,11.81124175970648,11.818655429358513,9.860341393912597,9.852740237890842,9.858246321535066,9201929.276043972,1146810.2078062636,1149589.5086393433,0.0
Ridge,0.001,11.820744777297602,11.811241764855605,11.818655396043232,9.860341381822142,9.852740246202448,9.858246288696169,9201929.297308821,1146810.2226930684,1149589.5137653525,2.061389684677124
Ridge,0.01,11.820744779736108,11.811241813425216,11.818655098509899,9.860341274250334,9.852740321068016,9.858245993389708,9201929.492150087,1146810.3570152055,1149589.5602825058,1.651547908782959
Ridge,0.1,11.820745021843459,11.811242518400434,11.818652350052849,9.860340322210867,9.852741225538724,9.858243179315222,9201931.780584244,1146811.7406958186,1149590.0683046898,1.7751622200012207
Ridge,1.0,11.82076759175424,11.811269852356533,11.818645892013421,9.860343879068527,9.852763181248317,9.858232487784958,9201986.5195777,1146829.2065082001,1149599.2887086326,2.04494309425354
Ridge,10.0,11.822031946243222,11.812583510635328,11.819682722124822,9.861252667991552,9.85376067752787,9.859008023168611,9204181.69705058,1147179.2385118816,1149891.6785195996,1.8943321704864502
Ridge,100.0,11.835145303560246,11.825708855166633,11.83201368216319,9.87111824649125,9.864060658771079,9.868289474232025,9226700.367691888,1150126.4903560523,1152728.4332748472,2.013929843902588
Ridge,1000.0,11.910547326612368,11.899753668851714,11.90556877278927,9.92044905678186,9.913130619987164,9.916086863104837,9375648.469182367,1167486.8292986648,1170144.5859499574,2.1150307655334473
